Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
thc-ipv6,Exploitation and Attack,6. Wireless Attacks,"A collection of tools for performing various attacks against IPv6 networks, including address spoofing, neighbor discovery, and more.",,Parrot
jsql-injection,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to test for and exploit SQL injection vulnerabilities in web applications.,,Parrot
king-phisher,Exploitation and Attack,13. Social Engineering Tools,"A tool for creating and sending phishing campaigns, as well as analyzing the results of those campaigns.",,Parrot
mdbtools,Exploitation and Attack,8. Exploitation Tools,"A set of tools for working with Microsoft Access database files, which can be used to extract and analyze data from these files.",,Parrot
metasploit-framework,Exploitation and Attack,8. Exploitation Tools,"A comprehensive platform for developing, testing, and using exploit code against remote target systems.",,Parrot
oscanner,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to scan Oracle databases for known vulnerabilities and security issues.,,Parrot
pompem,Exploitation and Attack,8. Exploitation Tools,A tool that can be used to search for and download exploit code from various online sources.,,Parrot
set,Exploitation and Attack,13. Social Engineering Tools,"A toolkit for conducting social engineering attacks, including phishing, web site cloning, and malware delivery.",,Parrot
shellnoob,Exploitation and Attack,70,,,Parrot
0d1n,Web Application Analysis,1. Information Gathering / Reconnaissance,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.",,BlackArch
0trace,Network Scanners,52. Network Protocol Analysis,A hop enumeration tool.,,BlackArch
3proxy,Proxy,9. Sniffing & Spoofing,Tiny free proxy server.,,BlackArch
42zip,Stress Testing,15. Stress Testing,Recursive Zip archive bomb.,,BlackArch
a2sv,Vulnerability Analysis,3. Web Application Analysis,Auto Scanning to SSL Vulnerability.,,BlackArch
abcd,Reverse Engineering,30. Firmware Analysis Tools,ActionScript ByteCode Disassembler.,,BlackArch
acccheck,Password Attacks,26. Password Attacks,A password dictionary attack tool that targets windows authentication via the SMB protocol.,,BlackArch
ace,Information Gathering,1. Information Gathering / Reconnaissance,Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface,,BlackArch
aclpwn,Exploitation Tools,8. Exploitation Tools,Active Directory ACL exploitation with BloodHound.,,BlackArch
activedirectoryenum,Information Gathering,1. Information Gathering / Reconnaissance,Enumerate AD through LDAP.,,BlackArch
0d1n,Web Application Analysis,3. Web Application Analysis,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.",,BlackArch
0trace,Network Scanners,52. Network Protocol Analysis,A hop enumeration tool.,,BlackArch
3proxy,Proxy,9. Sniffing & Spoofing,Tiny free proxy server.,,BlackArch
42zip,Stress Testing,15. Stress Testing,Recursive Zip archive bomb.,,BlackArch
a2sv,Vulnerability Analysis,3. Web Application Analysis,Auto Scanning to SSL Vulnerability.,,BlackArch
abcd,Reverse Engineering,30. Firmware Analysis Tools,ActionScript ByteCode Disassembler.,,BlackArch
acccheck,Password Attacks,26. Password Attacks,A password dictionary attack tool that targets windows authentication via the SMB protocol.,,BlackArch
ace,Information Gathering,1. Information Gathering / Reconnaissance,Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface,,BlackArch
aclpwn,Exploitation Tools,8. Exploitation Tools,Active Directory ACL exploitation with BloodHound.,,BlackArch
activedirectoryenum,Information Gathering,1. Information Gathering / Reconnaissance,Enumerate AD through LDAP.,,BlackArch
ad-ldap-enum,Information Gathering,1. Information Gathering / Reconnaissance,An LDAP based Active Directory user and group enumeration tool.,,BlackArch
ad-miner,Information Gathering,1. Information Gathering / Reconnaissance,Active Directory audit tool that extract data from Bloodhound to uncover security weaknesses and generate an HTML report,,BlackArch
adape-script,Exploitation Tools,8. Exploitation Tools,Active Directory Assessment and Privilege Escalation Script.,,BlackArch
adenum,Exploitation Tools,8. Exploitation Tools,A pentesting tool that allows to find misconfiguration through the the protocol LDAP and exploit some of those weaknesses with kerberos.,,BlackArch
adfind,Web Application Analysis,3. Web Application Analysis,"Simple admin panel finder for php,js,cgi,asp and aspx admin panels.",,BlackArch
adfspray,Password Attacks,26. Password Attacks,Python3 tool to perform password spraying against Microsoft Online service using various methods.,,BlackArch
adidnsdump,Information Gathering,1. Information Gathering / Reconnaissance,Active Directory Integrated DNS dumping by any authenticated user.,,BlackArch
admid-pack,Spoofing and MITM,9. Sniffing & Spoofing,ADM DNS spoofing tools - Uses a variety of active and passive methods to spoof DNS packets. Very powerful.,,BlackArch
adminpagefinder,Web Application Analysis,3. Web Application Analysis,This python script looks for a large amount of possible administrative interfaces on a given site.,,BlackArch
admsnmp,Network Scanners,52. Network Protocol Analysis,ADM SNMP audit scanner.,,BlackArch
aesfix,Password Attacks,26. Password Attacks,A tool to find AES key in RAM.,,BlackArch
aeskeyfind,Password Attacks,26. Password Attacks,A tool to find AES key in RAM.,,BlackArch
aespipe,Cryptography,21. Crypto & Steganography,Reads data from stdin and outputs encrypted or decrypted results to stdout.,,BlackArch
afflib,Forensics,11. Forensics,An extensible open format for the storage of disk images and related forensic information.,,BlackArch
against,Password Attacks,26. Password Attacks,A very fast ssh attacking script which includes a multithreaded port scanning module (tcp connect) for discovering possible targets and a multithreaded brute-forcing module which attacks parallel all discovered hosts or given ip addresses from a list.,,BlackArch
agafi,Exploitation Tools,8. Exploitation Tools,A gadget finder and a ROP-Chainer tool for x86 platforms.,,BlackArch
aggroargs,Exploitation Tools,8. Exploitation Tools,"Bruteforce commandline buffer overflows, linux, aggressive arguments.",,BlackArch
aiengine,Network Scanners,52. Network Protocol Analysis,A packet inspection engine with capabilities of learning without any human intervention.,,BlackArch
aimage,Forensics,11. Forensics,A program to create aff-images.,,BlackArch
aiodnsbrute,Information Gathering,1. Information Gathering / Reconnaissance,Python 3 DNS asynchronous brute force utility.,,BlackArch
air,Forensics,11. Forensics,A GUI front-end to dd/dc3dd designed for easily creating forensic images.,,BlackArch
